method,dataset,trial,n_features,n_samples,converged,iterations,f_evals,cpu_time,residual,accuracy
STTDFPM,a5a.t,2,123,26147,true,160,439,0.990698700,9.481375e-12,0.733889
SOPP,a5a.t,3,123,26147,true,291,582,1.067103000,9.681205e-12,0.733889
SDLP,a5a.t,3,123,26147,true,156,313,0.568175800,9.315023e-12,0.733889
MOPCGM,a5a.t,3,123,26147,true,2447,4894,9.269309900,9.922622e-12,0.733889
CGPM,a5a.t,3,123,26147,true,622,1400,2.617441400,9.926466e-12,0.733889
STTDFPM,a5a.t,3,123,26147,true,136,378,0.691529400,9.642200e-12,0.733889
SOPP,a5a.t,4,123,26147,true,287,575,1.123152300,9.955102e-12,0.733889
SDLP,a5a.t,4,123,26147,true,154,308,0.587679100,9.732026e-12,0.733889
MOPCGM,a5a.t,4,123,26147,true,2418,4836,9.079899200,9.965842e-12,0.733889
CGPM,a5a.t,4,123,26147,true,611,1373,2.587613900,9.744865e-12,0.733889
STTDFPM,a5a.t,4,123,26147,true,158,439,0.826227000,9.544384e-12,0.733889
SOPP,a5a.t,5,123,26147,true,290,580,1.097531100,9.670120e-12,0.733889
SDLP,a5a.t,5,123,26147,true,156,312,0.575028300,9.302528e-12,0.733889
MOPCGM,a5a.t,5,123,26147,true,2438,4876,9.675737600,9.966991e-12,0.733889
CGPM,a5a.t,5,123,26147,true,583,1306,2.457637900,9.971454e-12,0.733889
STTDFPM,a5a.t,5,123,26147,true,155,424,0.820037900,9.544847e-12,0.733889
SOPP,a6a.t,1,123,21341,true,293,586,0.822518500,9.674049e-12,0.737313
SDLP,a6a.t,1,123,21341,true,157,315,0.474516700,9.728263e-12,0.737313
MOPCGM,a6a.t,1,123,21341,true,2464,4928,6.542315600,9.966967e-12,0.737313
CGPM,a6a.t,1,123,21341,true,619,1395,1.767908800,9.806057e-12,0.737313
STTDFPM,a6a.t,1,123,21341,true,153,426,0.595765600,9.479632e-12,0.737313
SOPP,a6a.t,2,123,21341,true,290,580,0.732457000,9.610445e-12,0.737313
SDLP,a6a.t,2,123,21341,true,155,311,0.449964600,9.484686e-12,0.737313
MOPCGM,a6a.t,2,123,21341,true,2437,4874,6.562928500,9.923490e-12,0.737313
CGPM,a6a.t,2,123,21341,true,610,1372,1.844252000,9.475597e-12,0.737313
STTDFPM,a6a.t,2,123,21341,true,130,372,0.471999600,7.074736e-12,0.737313
SOPP,a6a.t,3,123,21341,true,291,582,0.734634100,9.689987e-12,0.737313
SDLP,a6a.t,3,123,21341,true,156,313,0.441139800,9.329160e-12,0.737313
MOPCGM,a6a.t,3,123,21341,true,2447,4894,6.847643700,9.931832e-12,0.737313
CGPM,a6a.t,3,123,21341,true,608,1369,1.895855000,9.657681e-12,0.737313
STTDFPM,a6a.t,3,123,21341,true,141,437,0.570264500,7.902629e-12,0.737313
SOPP,a6a.t,4,123,21341,true,287,575,0.727014700,9.957370e-12,0.737313
SDLP,a6a.t,4,123,21341,true,154,308,0.407744300,9.732002e-12,0.737313
MOPCGM,a6a.t,4,123,21341,true,2418,4836,6.768545500,9.968599e-12,0.737313
CGPM,a6a.t,4,123,21341,true,608,1363,1.803829300,9.811570e-12,0.737313
STTDFPM,a6a.t,4,123,21341,true,143,387,0.473725400,8.460243e-12,0.737313
SOPP,a6a.t,5,123,21341,true,290,580,0.812234600,9.666898e-12,0.737313
SDLP,a6a.t,5,123,21341,true,156,312,0.386988100,9.303152e-12,0.737313
MOPCGM,a6a.t,5,123,21341,true,2438,4876,6.463499700,9.963784e-12,0.737313
CGPM,a6a.t,5,123,21341,true,721,1583,2.088852100,9.997135e-12,0.737313
STTDFPM,a6a.t,5,123,21341,true,148,413,0.549918500,6.725820e-12,0.737313
SOPP,a7a.t,1,123,16461,true,293,586,0.486948700,9.672762e-12,0.738048
SDLP,a7a.t,1,123,16461,true,157,315,0.266098300,9.736556e-12,0.738048
MOPCGM,a7a.t,1,123,16461,true,2464,4928,4.260090200,9.966318e-12,0.738048
CGPM,a7a.t,1,123,16461,true,628,1416,1.346736500,9.730381e-12,0.738048
STTDFPM,a7a.t,1,123,16461,true,153,427,0.301657700,9.550929e-12,0.738048
SOPP,a7a.t,2,123,16461,true,290,580,0.547881100,9.611491e-12,0.738048
SDLP,a7a.t,2,123,16461,true,155,311,0.263895900,9.487156e-12,0.738048
MOPCGM,a7a.t,2,123,16461,true,2437,4874,3.876015100,9.925524e-12,0.738048
CGPM,a7a.t,2,123,16461,true,623,1401,1.179547200,9.385475e-12,0.738048
STTDFPM,a7a.t,2,123,16461,true,141,420,0.332177000,9.490674e-12,0.738048
