method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time
SOPP,tau=0.1,tau,4,P4,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,36,74,5.9402010692307188e-12,0.0092631999999999992
SOPP,tau=0.1,tau,4,P4,10000,2.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,57,115,9.444577836561352e-12,0.016441899999999999
SOPP,tau=0.1,tau,4,P4,10000,5.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,false,maxiter,121,2000,54142,2127777894.3727937,4.2098437000000004
SOPP,tau=0.1,tau,4,P4,10000,1/k,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,51,103,9.1831436628036424e-12,0.0096068000000000004
SOPP,tau=0.1,tau,4,P4,10000,k/n,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,299,729,8.3106666945473501e-12,0.1144684
SOPP,tau=0.1,tau,5,P5,10000,0.4,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,7.638334409421077e-12,0.0397893
SOPP,tau=0.1,tau,5,P5,10000,0.5,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,7.2830630415410269e-12,0.0075434999999999999
SOPP,tau=0.1,tau,5,P5,10000,0.6,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,6.9722005946459831e-12,0.0075059000000000002
SOPP,tau=0.1,tau,5,P5,10000,0.8,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,6.3060667798708891e-12,0.0082635999999999994
SOPP,tau=0.1,tau,5,P5,10000,1.0,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,21,42,5.6399329650957952e-12,0.0108561
SOPP,tau=0.1,tau,5,P5,10000,1.1,0.10000000000000001,0.80000000000000004,0.5,,0.0001,0.10000000000000001,2,1,1.1000000000000001,3,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,41,9.7255536957163713e-12,0.0102831
