method,sparsity_ratio,measurement_ratio,noise_ratio,trial,converged,iterations,f_evals,cpu_time,mse,rel_err
SDLP,0.10,0.75,0.0000,5,true,13,27,0.153281800,1.2483477861e-10,3.7049802960e-02
MOPCGM,0.10,0.75,0.0000,5,true,204,408,2.566186400,1.2672358170e-10,3.7329040289e-02
CGPM,0.10,0.75,0.0000,5,true,47,113,0.643299100,1.2402187350e-10,3.6928974592e-02
STTDFPM,0.10,0.75,0.0000,5,true,18,50,0.292035600,1.2505607015e-10,3.7082627058e-02
SOPP,0.10,0.75,0.0010,1,true,29,59,0.357705700,1.1955504321e-10,3.2893571664e-02
SDLP,0.10,0.75,0.0010,1,true,14,31,0.176368800,1.1929034197e-10,3.2857137426e-02
MOPCGM,0.10,0.75,0.0010,1,true,221,442,2.857904800,1.1973074975e-10,3.2917734148e-02
CGPM,0.10,0.75,0.0010,1,true,56,132,0.746185600,1.1713407540e-10,3.2558823940e-02
STTDFPM,0.10,0.75,0.0010,1,true,24,62,0.349525400,1.1620926099e-10,3.2430037594e-02
SOPP,0.10,0.75,0.0010,2,true,32,65,0.372245900,9.2232515297e-11,2.9788855926e-02
SDLP,0.10,0.75,0.0010,2,true,17,35,0.198697600,9.1464584032e-11,2.9664585168e-02
MOPCGM,0.10,0.75,0.0010,2,true,249,498,3.020169500,9.2384787716e-11,2.9813435926e-02
CGPM,0.10,0.75,0.0010,2,true,70,162,0.922016400,9.0867930648e-11,2.9567670965e-02
STTDFPM,0.10,0.75,0.0010,2,true,28,67,0.376962600,9.0350988855e-11,2.9483446721e-02
SOPP,0.10,0.75,0.0010,3,true,29,58,0.331147800,1.2266076217e-10,3.5528804413e-02
SDLP,0.10,0.75,0.0010,3,true,14,30,0.169403000,1.2141612996e-10,3.5348090379e-02
MOPCGM,0.10,0.75,0.0010,3,true,218,436,2.762454500,1.2254319267e-10,3.5511773273e-02
CGPM,0.10,0.75,0.0010,3,true,52,124,0.705947700,1.2015452374e-10,3.5163964012e-02
STTDFPM,0.10,0.75,0.0010,3,true,21,56,0.317587000,1.2004070265e-10,3.5147304844e-02
SOPP,0.10,0.75,0.0010,4,true,27,55,0.316364200,1.4078812439e-10,3.5923121968e-02
SDLP,0.10,0.75,0.0010,4,true,13,27,0.157134600,1.3949299893e-10,3.5757509840e-02
MOPCGM,0.10,0.75,0.0010,4,true,204,408,2.533562200,1.4071545691e-10,3.5913849951e-02
CGPM,0.10,0.75,0.0010,4,true,50,122,0.684947100,1.3633804813e-10,3.5350828558e-02
STTDFPM,0.10,0.75,0.0010,4,true,20,56,0.326508000,1.3936760359e-10,3.5741434362e-02
SOPP,0.10,0.75,0.0010,5,true,28,56,0.320435000,1.2575300575e-10,3.7185813954e-02
SDLP,0.10,0.75,0.0010,5,true,13,27,0.152150500,1.2460507830e-10,3.7015700807e-02
MOPCGM,0.10,0.75,0.0010,5,true,205,410,2.551964300,1.2626022638e-10,3.7260732366e-02
CGPM,0.10,0.75,0.0010,5,true,47,113,0.640113500,1.2391513980e-10,3.6913080562e-02
STTDFPM,0.10,0.75,0.0010,5,true,19,54,0.303249600,1.2453850071e-10,3.7005810577e-02
SOPP,0.10,0.75,0.0100,1,true,30,61,0.349005500,1.3052314604e-10,3.4369312826e-02
SDLP,0.10,0.75,0.0100,1,true,15,32,0.181214400,1.2728726438e-10,3.3940603390e-02
MOPCGM,0.10,0.75,0.0100,1,true,230,460,2.808699500,1.3062729660e-10,3.4383022537e-02
CGPM,0.10,0.75,0.0100,1,true,61,148,0.832092700,1.2515741664e-10,3.3655448124e-02
STTDFPM,0.10,0.75,0.0100,1,true,21,58,0.326327200,1.2800735707e-10,3.4036472807e-02
SOPP,0.10,0.75,0.0100,2,true,34,69,0.415971300,1.0642202947e-10,3.1998348645e-02
SDLP,0.10,0.75,0.0100,2,true,18,36,0.217493100,1.0314087935e-10,3.1501208309e-02
MOPCGM,0.10,0.75,0.0100,2,true,264,528,3.205058400,1.0681537700e-10,3.2057428812e-02
CGPM,0.10,0.75,0.0100,2,true,74,174,0.995327200,1.0348669792e-10,3.1553973938e-02
STTDFPM,0.10,0.75,0.0100,2,true,30,72,0.405357400,1.0338391261e-10,3.1538299988e-02
SOPP,0.10,0.75,0.0100,3,true,30,61,0.352581600,1.3953188240e-10,3.7893479933e-02
SDLP,0.10,0.75,0.0100,3,true,15,32,0.182714700,1.3430944029e-10,3.7177572857e-02
MOPCGM,0.10,0.75,0.0100,3,true,228,456,2.854967900,1.3992539418e-10,3.7946876447e-02
CGPM,0.10,0.75,0.0100,3,true,61,148,0.855877200,1.3408031828e-10,3.7145848221e-02
STTDFPM,0.10,0.75,0.0100,3,true,23,64,0.362893100,1.3701751370e-10,3.7550506991e-02
SOPP,0.10,0.75,0.0100,4,true,28,57,0.357691200,1.5956847104e-10,3.8244113912e-02
SDLP,0.10,0.75,0.0100,4,true,14,31,0.193775200,1.5647142504e-10,3.7871157586e-02
MOPCGM,0.10,0.75,0.0100,4,true,213,426,2.840270400,1.5937355262e-10,3.8220748519e-02
CGPM,0.10,0.75,0.0100,4,true,51,126,0.745822900,1.5340160147e-10,3.7497818964e-02
STTDFPM,0.10,0.75,0.0100,4,true,22,62,0.355257100,1.5703371713e-10,3.7939143020e-02
SOPP,0.10,0.75,0.0100,5,true,29,58,0.332640900,1.3680319002e-10,3.8785216248e-02
SDLP,0.10,0.75,0.0100,5,true,13,27,0.154152000,1.3576632578e-10,3.8637955451e-02
MOPCGM,0.10,0.75,0.0100,5,true,215,430,2.704959800,1.3712273588e-10,3.8830487217e-02
CGPM,0.10,0.75,0.0100,5,true,50,122,0.714648600,1.3296279213e-10,3.8236943398e-02
STTDFPM,0.10,0.75,0.0100,5,true,23,59,0.354294500,1.3536568795e-10,3.8580904250e-02
SOPP,0.10,0.75,0.1000,1,true,88,176,1.048770900,7.2315759076e-09,2.5582533825e-01
SDLP,0.10,0.75,0.1000,1,true,52,104,0.741322000,7.2312044813e-09,2.5581876835e-01
MOPCGM,0.10,0.75,0.1000,1,true,739,1478,8.437450100,7.2319591156e-09,2.5583211638e-01
CGPM,0.10,0.75,0.1000,1,true,250,565,3.203342800,7.2299422767e-09,2.5579644083e-01
STTDFPM,0.10,0.75,0.1000,1,true,66,170,0.966172400,7.2225101674e-09,2.5566493246e-01
SOPP,0.10,0.75,0.1000,2,true,96,192,1.157155100,7.7303360936e-09,2.7271623075e-01
SDLP,0.10,0.75,0.1000,2,true,58,116,0.803035500,7.7303030326e-09,2.7271564758e-01
MOPCGM,0.10,0.75,0.1000,2,true,813,1626,9.353972000,7.7304109930e-09,2.7271755193e-01
CGPM,0.10,0.75,0.1000,2,true,292,654,3.732400200,7.7289397015e-09,2.7269159819e-01
STTDFPM,0.10,0.75,0.1000,2,true,78,192,1.091994000,7.7275538840e-09,2.7266714996e-01
SOPP,0.10,0.75,0.1000,3,true,89,178,1.086978400,7.6258772499e-09,2.8013841617e-01
SDLP,0.10,0.75,0.1000,3,true,53,106,0.749821800,7.6251350866e-09,2.8012478406e-01
MOPCGM,0.10,0.75,0.1000,3,true,751,1502,8.670141700,7.6262146335e-09,2.8014461303e-01
CGPM,0.10,0.75,0.1000,3,true,237,540,3.202697500,7.6237458844e-09,2.8009926532e-01
STTDFPM,0.10,0.75,0.1000,3,true,70,179,1.027719700,7.6046809510e-09,2.7974881971e-01
SOPP,0.10,0.75,0.1000,4,true,77,154,0.895176100,7.7779388040e-09,2.6700741496e-01
SDLP,0.10,0.75,0.1000,4,true,43,87,0.543478400,7.7778574197e-09,2.6700601804e-01
MOPCGM,0.10,0.75,0.1000,4,true,642,1284,7.469563500,7.7781455874e-09,2.6701096425e-01
CGPM,0.10,0.75,0.1000,4,true,172,404,2.347096100,7.7759570173e-09,2.6697339659e-01
STTDFPM,0.10,0.75,0.1000,4,true,56,147,0.833010400,7.7701919659e-09,2.6687441195e-01
SOPP,0.10,0.75,0.1000,5,true,83,166,1.007061400,7.8199164813e-09,2.9323726640e-01
SDLP,0.10,0.75,0.1000,5,true,48,97,0.562255900,7.8196294246e-09,2.9323188421e-01
MOPCGM,0.10,0.75,0.1000,5,true,697,1394,8.086933500,7.8200199563e-09,2.9323920649e-01
CGPM,0.10,0.75,0.1000,5,true,226,513,2.926286900,7.8186583096e-09,2.9321367550e-01
STTDFPM,0.10,0.75,0.1000,5,true,63,157,0.890583600,7.8176813003e-09,2.9319535513e-01
SOPP,0.20,0.25,0.0000,1,true,517,1034,6.121918700,1.3462809515e-07,8.0067026220e-01
SDLP,0.20,0.25,0.0000,1,true,379,759,4.320708400,1.3462815042e-07,8.0067042658e-01
MOPCGM,0.20,0.25,0.0000,1,true,4597,9194,53.307252900,1.3462851759e-07,8.0067151839e-01
CGPM,0.20,0.25,0.0000,1,true,1544,3398,19.638805700,1.3461807652e-07,8.0064046990e-01
STTDFPM,0.20,0.25,0.0000,1,true,537,1108,6.431285800,1.3468148125e-07,8.0082899738e-01
SOPP,0.20,0.25,0.0000,2,true,496,992,6.002401800,1.2667987128e-07,7.8452209570e-01
SDLP,0.20,0.25,0.0000,2,true,363,726,4.143266400,1.2667887974e-07,7.8451902542e-01
MOPCGM,0.20,0.25,0.0000,2,true,4407,8814,51.118910800,1.2667714834e-07,7.8451366414e-01
CGPM,0.20,0.25,0.0000,2,true,1475,3247,18.839841900,1.2676560690e-07,7.8478752902e-01
STTDFPM,0.20,0.25,0.0000,2,true,488,1005,5.931830300,1.2722348420e-07,7.8620357750e-01
SOPP,0.20,0.25,0.0000,3,true,502,1005,5.992798600,1.1806923400e-07,7.7862907216e-01
SDLP,0.20,0.25,0.0000,3,true,368,737,4.188452000,1.1806933928e-07,7.7862941933e-01
MOPCGM,0.20,0.25,0.0000,3,true,4470,8940,52.175404600,1.1806920787e-07,7.7862898600e-01
CGPM,0.20,0.25,0.0000,3,true,1494,3288,18.962935600,1.1808758358e-07,7.7868957466e-01
STTDFPM,0.20,0.25,0.0000,3,true,528,1090,6.485100400,1.1825469840e-07,7.7924037158e-01
SOPP,0.20,0.25,0.0000,4,true,504,1008,5.976234000,1.3021700664e-07,8.0083420273e-01
SDLP,0.20,0.25,0.0000,4,true,369,739,4.223917000,1.3021807221e-07,8.0083747936e-01
MOPCGM,0.20,0.25,0.0000,4,true,4481,8962,51.911547600,1.3021476031e-07,8.0082729523e-01
CGPM,0.20,0.25,0.0000,4,true,1504,3310,19.051188400,1.3031308975e-07,8.0112960366e-01
STTDFPM,0.20,0.25,0.0000,4,true,445,939,5.551588200,1.3069317980e-07,8.0229709834e-01
SOPP,0.20,0.25,0.0000,5,true,505,1010,6.009386300,1.1232816120e-07,7.7281772966e-01
SDLP,0.20,0.25,0.0000,5,true,370,741,4.206092800,1.1232874118e-07,7.7281972479e-01
MOPCGM,0.20,0.25,0.0000,5,true,4493,8986,52.085015200,1.1232818304e-07,7.7281780478e-01
CGPM,0.20,0.25,0.0000,5,true,1489,3278,18.921297700,1.1235562527e-07,7.7291220028e-01
STTDFPM,0.20,0.25,0.0000,5,true,409,850,5.114866700,1.1235434409e-07,7.7290779353e-01
SOPP,0.20,0.25,0.0010,1,true,516,1032,6.193878400,1.3459960829e-07,8.0058554815e-01
SDLP,0.20,0.25,0.0010,1,true,379,758,4.322799500,1.3459923383e-07,8.0058443452e-01
MOPCGM,0.20,0.25,0.0010,1,true,4591,9182,53.183705900,1.3459978842e-07,8.0058608385e-01
CGPM,0.20,0.25,0.0010,1,true,1544,3398,19.599738000,1.3458461884e-07,8.0054096900e-01
STTDFPM,0.20,0.25,0.0010,1,true,504,1039,6.131491500,1.3460943322e-07,8.0061476648e-01
SOPP,0.20,0.25,0.0010,2,true,499,998,5.938485500,1.2676256136e-07,7.8477810171e-01
SDLP,0.20,0.25,0.0010,2,true,365,731,4.172372700,1.2676224794e-07,7.8477713152e-01
MOPCGM,0.20,0.25,0.0010,2,true,4438,8876,51.777829600,1.2676217146e-07,7.8477689478e-01
CGPM,0.20,0.25,0.0010,2,true,1480,3258,19.105208000,1.2684226310e-07,7.8502477687e-01
STTDFPM,0.20,0.25,0.0010,2,true,475,986,5.905706800,1.2734763475e-07,7.8658709086e-01
SOPP,0.20,0.25,0.0010,3,true,505,1011,6.141940200,1.1811393379e-07,7.7877644868e-01
SDLP,0.20,0.25,0.0010,3,true,371,742,4.265812900,1.1811469918e-07,7.7877897194e-01
MOPCGM,0.20,0.25,0.0010,3,true,4497,8994,52.218580200,1.1811389329e-07,7.7877631517e-01
CGPM,0.20,0.25,0.0010,3,true,1499,3299,19.019137900,1.1813358028e-07,7.7884121489e-01
STTDFPM,0.20,0.25,0.0010,3,true,512,1061,6.227368700,1.1826392663e-07,7.7927077577e-01
SOPP,0.20,0.25,0.0010,4,true,505,1011,6.031455000,1.3026892181e-07,8.0099382591e-01
SDLP,0.20,0.25,0.0010,4,true,370,741,4.215689700,1.3026931096e-07,8.0099502229e-01
MOPCGM,0.20,0.25,0.0010,4,true,4497,8994,52.400395300,1.3026883983e-07,8.0099357385e-01
CGPM,0.20,0.25,0.0010,4,true,1509,3321,19.379911700,1.3036619692e-07,8.0129283128e-01
STTDFPM,0.20,0.25,0.0010,4,true,462,959,5.632748200,1.3074587575e-07,8.0245882654e-01
SOPP,0.20,0.25,0.0010,5,true,504,1008,5.994458400,1.1226902749e-07,7.7261428291e-01
SDLP,0.20,0.25,0.0010,5,true,369,739,4.227661500,1.1226892510e-07,7.7261393061e-01
MOPCGM,0.20,0.25,0.0010,5,true,4481,8962,51.732088200,1.1226817698e-07,7.7261135638e-01
CGPM,0.20,0.25,0.0010,5,true,1489,3278,18.945410000,1.1230209827e-07,7.7272806797e-01
STTDFPM,0.20,0.25,0.0010,5,true,454,944,5.583539800,1.1242866937e-07,7.7316340045e-01
SOPP,0.20,0.25,0.0100,1,true,512,1024,6.067647600,1.3427112917e-07,7.9960807029e-01
SDLP,0.20,0.25,0.0100,1,true,376,752,4.303135100,1.3427055107e-07,7.9960634895e-01
MOPCGM,0.20,0.25,0.0100,1,true,4557,9114,52.811069600,1.3427103365e-07,7.9960778585e-01
CGPM,0.20,0.25,0.0100,1,true,1519,3343,19.632706900,1.3426022478e-07,7.9957560085e-01
STTDFPM,0.20,0.25,0.0100,1,true,525,1086,6.817071000,1.3432650595e-07,7.9977294249e-01
SOPP,0.20,0.25,0.0100,2,true,514,1029,6.147562600,1.2740686915e-07,7.8677000589e-01
SDLP,0.20,0.25,0.0100,2,true,377,755,4.353715800,1.2740812579e-07,7.8677388592e-01
MOPCGM,0.20,0.25,0.0100,2,true,4577,9154,53.134087600,1.2740632184e-07,7.8676831601e-01
CGPM,0.20,0.25,0.0100,2,true,1535,3379,19.395033900,1.2754741791e-07,7.8720384855e-01
STTDFPM,0.20,0.25,0.0100,2,true,474,978,5.806349600,1.2785337437e-07,7.8814744209e-01
SOPP,0.20,0.25,0.0100,3,true,493,986,5.834384600,1.1844891622e-07,7.7988000908e-01
SDLP,0.20,0.25,0.0100,3,true,361,722,4.127918800,1.1844903885e-07,7.7988041278e-01
MOPCGM,0.20,0.25,0.0100,3,true,4382,8764,50.701354700,1.1844878619e-07,7.7987958102e-01
CGPM,0.20,0.25,0.0100,3,true,1484,3266,18.889337800,1.1846244511e-07,7.7992454562e-01
STTDFPM,0.20,0.25,0.0100,3,true,436,913,5.482132200,1.1853582794e-07,7.8016607452e-01
SOPP,0.20,0.25,0.0100,4,true,509,1019,6.027020700,1.3077949246e-07,8.0256198197e-01
SDLP,0.20,0.25,0.0100,4,true,373,747,4.266602700,1.3077928724e-07,8.0256135229e-01
MOPCGM,0.20,0.25,0.0100,4,true,4530,9060,52.521429700,1.3077748110e-07,8.0255581032e-01
CGPM,0.20,0.25,0.0100,4,true,1509,3321,19.140820400,1.3085432578e-07,8.0279156609e-01
STTDFPM,0.20,0.25,0.0100,4,true,464,967,5.663023500,1.3121135209e-07,8.0388599865e-01
SOPP,0.20,0.25,0.0100,5,true,494,988,5.864483900,1.1195115938e-07,7.7151975342e-01
SDLP,0.20,0.25,0.0100,5,true,362,724,4.130564400,1.1195170194e-07,7.7152162298e-01
MOPCGM,0.20,0.25,0.0100,5,true,4394,8788,50.915417100,1.1195105066e-07,7.7151937881e-01
CGPM,0.20,0.25,0.0100,5,true,1464,3223,18.809040000,1.1199600636e-07,7.7167427112e-01
STTDFPM,0.20,0.25,0.0100,5,true,429,890,5.266812200,1.1209265413e-07,7.7200716028e-01
SOPP,0.20,0.25,0.1000,1,true,515,1031,6.083702300,1.4447615447e-07,8.2943801250e-01
SDLP,0.20,0.25,0.1000,1,true,378,757,4.298524200,1.4447762233e-07,8.2944222599e-01
MOPCGM,0.20,0.25,0.1000,1,true,4585,9170,53.656535500,1.4447461043e-07,8.2943358033e-01
CGPM,0.20,0.25,0.1000,1,true,1524,3354,19.252590900,1.4454885393e-07,8.2964667017e-01
STTDFPM,0.20,0.25,0.1000,1,true,505,1044,5.928940100,1.4497143979e-07,8.3085851334e-01
SOPP,0.20,0.25,0.1000,2,true,555,1110,6.542445800,1.3629603604e-07,8.1375371774e-01
SDLP,0.20,0.25,0.1000,2,true,408,817,4.692263200,1.3629709184e-07,8.1375686954e-01
MOPCGM,0.20,0.25,0.1000,2,true,4942,9884,57.386033200,1.3629570610e-07,8.1375273278e-01
CGPM,0.20,0.25,0.1000,2,true,1625,3577,20.848895500,1.3638419920e-07,8.1401686369e-01
STTDFPM,0.20,0.25,0.1000,2,true,456,953,5.444575000,1.3663966532e-07,8.1477888908e-01
SOPP,0.20,0.25,0.1000,3,true,512,1025,6.048144900,1.3094560947e-07,8.1998840831e-01
SDLP,0.20,0.25,0.1000,3,true,376,753,4.265559100,1.3094742141e-07,8.1999408152e-01
MOPCGM,0.20,0.25,0.1000,3,true,4560,9120,52.840345500,1.3094531438e-07,8.1998748437e-01
CGPM,0.20,0.25,0.1000,3,true,1509,3321,19.018954800,1.3098100017e-07,8.2009921006e-01
STTDFPM,0.20,0.25,0.1000,3,true,476,982,5.582948700,1.3118763277e-07,8.2074583990e-01
SOPP,0.20,0.25,0.1000,4,true,505,1010,6.018736300,1.4316760236e-07,8.3971349956e-01
SDLP,0.20,0.25,0.1000,4,true,370,741,4.273389900,1.4317239741e-07,8.3972756152e-01
MOPCGM,0.20,0.25,0.1000,4,true,4493,8986,51.858352500,1.4316779722e-07,8.3971407100e-01
CGPM,0.20,0.25,0.1000,4,true,1490,3280,19.138567900,1.4326289062e-07,8.3999289773e-01
STTDFPM,0.20,0.25,0.1000,4,true,535,1108,6.472757200,1.4436415291e-07,8.4321523108e-01
SOPP,0.20,0.25,0.1000,5,true,508,1016,6.016974300,1.2021167110e-07,7.9947717531e-01
SDLP,0.20,0.25,0.1000,5,true,373,746,4.248709400,1.2021137396e-07,7.9947618724e-01
MOPCGM,0.20,0.25,0.1000,5,true,4519,9038,52.246324000,1.2021183404e-07,7.9947771713e-01
CGPM,0.20,0.25,0.1000,5,true,1489,3278,18.834066300,1.2020161949e-07,7.9944375010e-01
STTDFPM,0.20,0.25,0.1000,5,true,424,880,5.168308100,1.2016110656e-07,7.9930901587e-01
SOPP,0.20,0.50,0.0000,1,true,361,723,4.388663400,4.3274455822e-09,1.4354949063e-01
SDLP,0.20,0.50,0.0000,1,true,261,522,2.992003800,4.3240595505e-09,1.4349331912e-01
MOPCGM,0.20,0.50,0.0000,1,true,3201,6402,36.839140100,4.3321755309e-09,1.4362791984e-01
CGPM,0.20,0.50,0.0000,1,true,1079,2376,13.829492700,4.2551338210e-09,1.4234507958e-01
STTDFPM,0.20,0.50,0.0000,1,true,313,661,3.768516800,4.0684250966e-09,1.3918710774e-01
SOPP,0.20,0.50,0.0000,2,true,269,538,3.307680500,4.0637448748e-09,1.4051238018e-01
SDLP,0.20,0.50,0.0000,2,true,189,379,2.146206700,4.0624839673e-09,1.4049057925e-01
MOPCGM,0.20,0.50,0.0000,2,true,2369,4738,27.426684100,4.0658635995e-09,1.4054900505e-01
CGPM,0.20,0.50,0.0000,2,true,811,1787,10.374201700,4.0267857880e-09,1.3987195229e-01
STTDFPM,0.20,0.50,0.0000,2,true,224,518,2.963310400,3.8340099966e-09,1.3648282197e-01
SOPP,0.20,0.50,0.0000,3,true,328,656,3.926311500,5.2917889788e-09,1.6484033980e-01
SDLP,0.20,0.50,0.0000,3,true,235,470,2.711422900,5.2969901725e-09,1.6492132905e-01
MOPCGM,0.20,0.50,0.0000,3,true,2898,5796,33.622925200,5.3003014471e-09,1.6497286912e-01
CGPM,0.20,0.50,0.0000,3,true,980,2159,12.532944200,5.1966249910e-09,1.6335142641e-01
STTDFPM,0.20,0.50,0.0000,3,true,282,623,3.661880100,4.7869935050e-09,1.5678108350e-01
SOPP,0.20,0.50,0.0000,4,true,388,776,4.625250000,3.3332439068e-09,1.2812748637e-01
SDLP,0.20,0.50,0.0000,4,true,281,563,3.219270400,3.3317860666e-09,1.2809946414e-01
MOPCGM,0.20,0.50,0.0000,4,true,3442,6884,40.029120400,3.3343111133e-09,1.2814799605e-01
CGPM,0.20,0.50,0.0000,4,true,1155,2543,15.264957000,3.2463007793e-09,1.2644542987e-01
STTDFPM,0.20,0.50,0.0000,4,true,333,717,4.265025700,3.0216416806e-09,1.2199168794e-01
SOPP,0.20,0.50,0.0000,5,true,312,624,3.786125500,2.6735281322e-09,1.1922714137e-01
SDLP,0.20,0.50,0.0000,5,true,223,446,2.530474500,2.6700211790e-09,1.1914891866e-01
MOPCGM,0.20,0.50,0.0000,5,true,2757,5514,31.879966400,2.6751392630e-09,1.1926306049e-01
CGPM,0.20,0.50,0.0000,5,true,930,2049,11.957341200,2.6376902448e-09,1.1842534230e-01
STTDFPM,0.20,0.50,0.0000,5,true,255,574,3.358959500,2.3331701070e-09,1.1137967695e-01
SOPP,0.20,0.50,0.0010,1,true,361,722,4.293364800,4.3513127803e-09,1.4394480618e-01
SDLP,0.20,0.50,0.0010,1,true,260,521,2.988541600,4.3510634172e-09,1.4394068156e-01
MOPCGM,0.20,0.50,0.0010,1,true,3196,6392,36.849452300,4.3577772410e-09,1.4405169119e-01
CGPM,0.20,0.50,0.0010,1,true,1079,2376,13.897672200,4.2739621462e-09,1.4265965973e-01
STTDFPM,0.20,0.50,0.0010,1,true,318,688,3.948371500,4.0311242329e-09,1.3854757842e-01
SOPP,0.20,0.50,0.0010,2,true,269,538,3.289993900,4.0736145842e-09,1.4068290950e-01
SDLP,0.20,0.50,0.0010,2,true,189,379,2.177840400,4.0723207752e-09,1.4066056678e-01
MOPCGM,0.20,0.50,0.0010,2,true,2370,4740,27.932608600,4.0739443883e-09,1.4068860431e-01
CGPM,0.20,0.50,0.0010,2,true,811,1787,10.240349000,4.0373171919e-09,1.4005473904e-01
STTDFPM,0.20,0.50,0.0010,2,true,213,488,2.827563000,3.9086420792e-09,1.3780479352e-01
SOPP,0.20,0.50,0.0010,3,true,327,655,4.011219500,5.3147518795e-09,1.6519760224e-01
SDLP,0.20,0.50,0.0010,3,true,235,470,2.684440100,5.3103229538e-09,1.6512875610e-01
MOPCGM,0.20,0.50,0.0010,3,true,2895,5790,33.366409800,5.3194442814e-09,1.6527051275e-01
CGPM,0.20,0.50,0.0010,3,true,980,2159,12.534714600,5.2119025060e-09,1.6359136795e-01
STTDFPM,0.20,0.50,0.0010,3,true,274,620,3.585311000,4.7804100516e-09,1.5667323752e-01
SOPP,0.20,0.50,0.0010,4,true,388,776,4.730812700,3.3401849976e-09,1.2826082225e-01
SDLP,0.20,0.50,0.0010,4,true,281,563,3.212436300,3.3389330323e-09,1.2823678269e-01
MOPCGM,0.20,0.50,0.0010,4,true,3440,6880,39.987818600,3.3444508424e-09,1.2834269888e-01
CGPM,0.20,0.50,0.0010,4,true,1155,2543,14.737085900,3.2521588010e-09,1.2655946524e-01
STTDFPM,0.20,0.50,0.0010,4,true,328,702,4.168988500,3.0232075565e-09,1.2202329313e-01
SOPP,0.20,0.50,0.0010,5,true,312,624,3.857224300,2.6897108802e-09,1.1958743530e-01
SDLP,0.20,0.50,0.0010,5,true,223,446,2.554809300,2.6863646048e-09,1.1951302265e-01
MOPCGM,0.20,0.50,0.0010,5,true,2757,5514,32.015317900,2.6913635868e-09,1.1962417021e-01
CGPM,0.20,0.50,0.0010,5,true,930,2049,11.964559800,2.6540108347e-09,1.1879115306e-01
STTDFPM,0.20,0.50,0.0010,5,true,265,594,3.584256700,2.3682557295e-09,1.1221400178e-01
SOPP,0.20,0.50,0.0100,1,true,348,696,4.148956100,5.1981591129e-09,1.5732967030e-01
SDLP,0.20,0.50,0.0100,1,true,250,501,2.891608600,5.1969159142e-09,1.5731085559e-01
MOPCGM,0.20,0.50,0.0100,1,true,3082,6164,35.688806700,5.1990961598e-09,1.5734385019e-01
CGPM,0.20,0.50,0.0100,1,true,1044,2299,13.504943600,5.1130690929e-09,1.5603667195e-01
STTDFPM,0.20,0.50,0.0100,1,true,271,603,3.457687300,5.0626531890e-09,1.5526548953e-01
SOPP,0.20,0.50,0.0100,2,true,261,522,3.229456300,4.8714486277e-09,1.5384395516e-01
SDLP,0.20,0.50,0.0100,2,true,183,366,2.100347600,4.8759860153e-09,1.5391558551e-01
MOPCGM,0.20,0.50,0.0100,2,true,2294,4588,26.508885500,4.8788013234e-09,1.5396001317e-01
CGPM,0.20,0.50,0.0100,2,true,791,1743,10.225778500,4.8169700699e-09,1.5298129996e-01
STTDFPM,0.20,0.50,0.0100,2,true,204,474,2.740712600,4.7502885026e-09,1.5191874585e-01
SOPP,0.20,0.50,0.0100,3,true,308,617,3.854926300,6.3300323877e-09,1.8028733059e-01
SDLP,0.20,0.50,0.0100,3,true,220,440,2.520392800,6.3342522117e-09,1.8034741354e-01
MOPCGM,0.20,0.50,0.0100,3,true,2723,5446,31.539150300,6.3369887485e-09,1.8038636637e-01
CGPM,0.20,0.50,0.0100,3,true,925,2038,11.874903300,6.2388503056e-09,1.7898412999e-01
STTDFPM,0.20,0.50,0.0100,3,true,251,551,3.306885400,6.0585174561e-09,1.7637841037e-01
SOPP,0.20,0.50,0.0100,4,true,370,741,4.498529500,4.3844608215e-09,1.4694907479e-01
SDLP,0.20,0.50,0.0100,4,true,268,536,3.157070000,4.3822970710e-09,1.4691281031e-01
MOPCGM,0.20,0.50,0.0100,4,true,3283,6566,38.299494500,4.3875402739e-09,1.4700067101e-01
CGPM,0.20,0.50,0.0100,4,true,1100,2422,13.973256600,4.3222853676e-09,1.4590342188e-01
STTDFPM,0.20,0.50,0.0100,4,true,319,688,4.097546100,4.0203187640e-09,1.4071454919e-01
SOPP,0.20,0.50,0.0100,5,true,305,611,3.933545400,3.4301061498e-09,1.3504749480e-01
SDLP,0.20,0.50,0.0100,5,true,217,435,2.495534000,3.4346367294e-09,1.3513665261e-01
MOPCGM,0.20,0.50,0.0100,5,true,2696,5392,31.677605300,3.4348928642e-09,1.3514169136e-01
CGPM,0.20,0.50,0.0100,5,true,910,2005,11.564246500,3.4009843537e-09,1.3447299235e-01
STTDFPM,0.20,0.50,0.0100,5,true,237,538,3.334849700,3.2276335116e-09,1.3100107518e-01
SOPP,0.20,0.50,0.1000,1,true,283,566,3.507435800,3.1420497030e-08,3.8680526200e-01
SDLP,0.20,0.50,0.1000,1,true,200,400,2.290156900,3.1421400766e-08,3.8681082472e-01
MOPCGM,0.20,0.50,0.1000,1,true,2493,4986,30.034118000,3.1425256245e-08,3.8683455529e-01
CGPM,0.20,0.50,0.1000,1,true,865,1905,10.933983000,3.1366974253e-08,3.8647567275e-01
STTDFPM,0.20,0.50,0.1000,1,true,259,565,3.233550800,3.1160795312e-08,3.8520340278e-01
SOPP,0.20,0.50,0.1000,2,true,256,513,3.471870200,2.7974955606e-08,3.6866853749e-01
SDLP,0.20,0.50,0.1000,2,true,180,360,2.108953600,2.7968229729e-08,3.6862421627e-01
