method,sparsity_ratio,measurement_ratio,noise_ratio,trial,converged,iterations,f_evals,cpu_time,mse,rel_err
STTDFPM,0.05,0.75,0.0000,5,true,17,47,0.251724300,3.7319803941e-11,2.7835439932e-02
SOPP,0.05,0.75,0.0010,1,true,22,44,0.243715200,5.3819772154e-11,3.1511704442e-02
SDLP,0.05,0.75,0.0010,1,true,10,23,0.125852400,5.2447432507e-11,3.1107354853e-02
MOPCGM,0.05,0.75,0.0010,1,true,153,306,1.873708900,5.4124515559e-11,3.1600792785e-02
CGPM,0.05,0.75,0.0010,1,true,27,73,0.403223600,5.3004855371e-11,3.1272225849e-02
STTDFPM,0.05,0.75,0.0010,1,true,15,43,0.242656600,5.2701880956e-11,3.1182722139e-02
SOPP,0.05,0.75,0.0010,2,true,23,46,0.254828800,4.2964321088e-11,2.9169928501e-02
SDLP,0.05,0.75,0.0010,2,true,11,26,0.142490300,4.2031751536e-11,2.8851615243e-02
MOPCGM,0.05,0.75,0.0010,2,true,163,326,1.986083300,4.3246763746e-11,2.9265651371e-02
CGPM,0.05,0.75,0.0010,2,true,39,96,0.529067600,4.1079053622e-11,2.8522763618e-02
STTDFPM,0.05,0.75,0.0010,2,true,15,39,0.216984600,4.1656792760e-11,2.8722636543e-02
SOPP,0.05,0.75,0.0010,3,true,23,46,0.255276200,3.5747925638e-11,2.8852894431e-02
SDLP,0.05,0.75,0.0010,3,true,11,24,0.131418300,3.5195240806e-11,2.8628983899e-02
MOPCGM,0.05,0.75,0.0010,3,true,162,324,1.996525100,3.6094968132e-11,2.8992608770e-02
CGPM,0.05,0.75,0.0010,3,true,39,96,0.527834500,3.4088439354e-11,2.8175233451e-02
STTDFPM,0.05,0.75,0.0010,3,true,13,38,0.204842600,3.4485137497e-11,2.8338701375e-02
SOPP,0.05,0.75,0.0010,4,true,22,45,0.253398100,6.0322337004e-11,3.2059136896e-02
SDLP,0.05,0.75,0.0010,4,true,10,23,0.123247900,5.9420057140e-11,3.1818469019e-02
MOPCGM,0.05,0.75,0.0010,4,true,158,316,1.976323400,6.0539848160e-11,3.2116884537e-02
CGPM,0.05,0.75,0.0010,4,true,34,85,0.466951700,5.6364241963e-11,3.0989500915e-02
STTDFPM,0.05,0.75,0.0010,4,true,14,41,0.226410600,6.0241956737e-11,3.2037770176e-02
SOPP,0.05,0.75,0.0010,5,true,24,48,0.283658400,3.7889307275e-11,2.8047021373e-02
SDLP,0.05,0.75,0.0010,5,true,12,26,0.149700600,3.6603850023e-11,2.7567145373e-02
MOPCGM,0.05,0.75,0.0010,5,true,171,342,2.153144800,3.8281659045e-11,2.8191863782e-02
CGPM,0.05,0.75,0.0010,5,true,38,93,0.529589700,3.6454078572e-11,2.7510689516e-02
STTDFPM,0.05,0.75,0.0010,5,true,17,47,0.272753700,3.6894325057e-11,2.7676310719e-02
SOPP,0.05,0.75,0.0100,1,true,22,45,0.282090700,5.7780301067e-11,3.2650577504e-02
SDLP,0.05,0.75,0.0100,1,true,10,23,0.137703200,5.6843899287e-11,3.2384925153e-02
MOPCGM,0.05,0.75,0.0100,1,true,158,316,2.015077200,5.8010932820e-11,3.2715675474e-02
CGPM,0.05,0.75,0.0100,1,true,28,72,0.419198200,5.5227049208e-11,3.1921029292e-02
STTDFPM,0.05,0.75,0.0100,1,true,15,44,0.252614000,5.6145562752e-11,3.2185383376e-02
SOPP,0.05,0.75,0.0100,2,true,24,48,0.259056700,5.5315901020e-11,3.3098352983e-02
SDLP,0.05,0.75,0.0100,2,true,11,23,0.127420300,5.3526115349e-11,3.2558489680e-02
MOPCGM,0.05,0.75,0.0100,2,true,174,348,2.186245300,5.5288926177e-11,3.3090281780e-02
CGPM,0.05,0.75,0.0100,2,true,37,94,0.550765500,5.2934943236e-11,3.2378193463e-02
STTDFPM,0.05,0.75,0.0100,2,true,16,45,0.254535700,5.4160958249e-11,3.2750999441e-02
