method,config_label,param_family,problem_id,problem,n,x0_label,tau,rho,beta,eta,zeta,alpha_min,alpha_max,lambda0,gamma,c,zeta1,zeta2,eps,maxiter,converged,status,restarts,iterations,f_evals,residual,cpu_time,tsel,srule
SDLP,srule=r2,srule,8,P8,10000,5.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,28,138,9.60011545155793e-12,0.0078006999999999998,,r2
SDLP,srule=r2,srule,8,P8,10000,1/k,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,34,175,9.890580994162934e-12,0.0069734999999999997,,r2
SDLP,srule=r2,srule,8,P8,10000,k/n,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,24,108,8.3234900684693373e-12,0.0068247999999999998,,r2
SDLP,srule=r2,srule,10,P10,10000,0.4,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,23,89,3.730349362740526e-12,0.0041041999999999997,,r2
SDLP,srule=r2,srule,10,P10,10000,0.5,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,24,93,6.1950444774083735e-12,0.0065116000000000002,,r2
SDLP,srule=r2,srule,10,P10,10000,0.6,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,25,97,5.7509552675583109e-12,0.0040229000000000003,,r2
SDLP,srule=r2,srule,10,P10,10000,0.8,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,24,94,7.0166095156309893e-12,0.0059912999999999998,,r2
SDLP,srule=r2,srule,10,P10,10000,1.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_projected,0,20,80,9.6589403142388619e-12,0.0035815,,r2
SDLP,srule=r2,srule,10,P10,10000,1.1,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,23,91,3.9523939676655573e-12,0.0051789999999999996,,r2
SDLP,srule=r2,srule,10,P10,10000,2.0,0.001,0.5,,0.59999999999999998,0.10000000000000001,0.55000000000000004,4.9000000000000004,1,1.8,,1,1,9.9999999999999994e-12,2000,true,converged_trial,0,17,68,8.1046280797636427e-12,0.0039747000000000003,,r2
